Año;Mes;Centro;Visitantes;fecha
2020;Enero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);7708;2020-01
2020;Enero;PALACIO DE QUINTANAR;1783;2020-01
2020;Enero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;2115;2020-01
2020;Enero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;1746;2020-01
2020;Enero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);3694;2020-01
2020;Enero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);1472;2020-01
2020;Enero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);16618;2020-01
2020;Enero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);6605;2020-01
2020;Febrero;MUSEO ETNOGRÁFICO DE CASTILLA Y LEÓN (MECYL);5075;2020-02
2020;Febrero;PALACIO DE QUINTANAR;2021;2020-02
2020;Febrero;CENTRO CULTURAL MIGUEL DELIBES (programación propia);8465;2020-02
2020;Febrero;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);31038;2020-02
2020;Febrero;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;3676;2020-02
2020;Febrero;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);4928;2020-02
2020;Febrero;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;3252;2020-02
2020;Febrero;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);2185;2020-02
2020;Marzo;CENTRO DE ACCESO A LOS YACIMIENTOS DE ATAPUERCA;3100;2020-03
2020;Marzo;CENTRO DE ARQUEOLOGIA EXPERIMENTAL;3305;2020-03
2020;Marzo;MUSEO DE ARTE CONTEMPORÁNEO DE CASTILLA Y LEÓN (MUSAC);2142;2020-03
2020;Marzo;MUSEO DE LA SIDERURGIA Y LA MINERÍA DE CASTILLA Y LEÓN (MSM);593;2020-03
2020;Marzo;PALACIO DE QUINTANAR;1055;2020-03
2020;Marzo;CENTRO CULTURAL MIGUEL DELIBES (programación propia);6884;2020-03
2020;Marzo;MUSEO DE LA EVOLUCIÓN HUMANA (MEH);12875;2020-03
